ma_name_reference,country_reference,sample_location_city,latitude,longitude
Afghan Family Guidance Association,Afghanistan,Kabul,34.5553,69.2075
Bandhu Social Welfare Society,Bangladesh,Dhaka,23.8103,90.4125
Population Services and Training Center,Bangladesh,Chattogram,22.3569,91.7832
Family Planning Association of India,India,New Delhi,28.6139,77.2090
Family Planning Association of Nepal,Nepal,Kathmandu,27.7172,85.3240
Family Planning Association of Sri Lanka,Sri Lanka,Colombo,6.9271,79.8612
Respect Educate Nurture Empower Women,Bhutan,Thimphu,27.4728,89.6390
Society for Health Education,Maldives,Male,4.1755,73.5093
China Family Planning Association,China,Beijing,39.9042,116.4074
Cook Islands Family Welfare Association,Cook Islands,Avarua,-21.2129,-159.7823
Family Health Association of Korea,DPRK,Pyongyang,39.0392,125.7625
"Federation of Reproductive Health Associations, Malaysia",Malaysia,Kuala Lumpur,3.1390,101.6869
Kiribati Family Health Association,Kiribati,South Tarawa,1.4518,173.0330
Mongolian Family Welfare Association,Mongolia,Ulaanbaatar,47.8864,106.9057
Papua New Guinea Family Health Association,Papua New Guinea,Port Moresby,-9.4438,147.1803
Planned Parenthood Association of Thailand,Thailand,Bangkok,13.7563,100.5018
Promotion of Family Health Association of Lao PDR,Lao PDR,Vientiane,17.9757,102.6331
Reproductive & Family Health Association of Fiji,Fiji,Suva,-18.1248,178.4501
Samoa Family Health Association,Samoa,Apia,-13.8507,-171.7514
Solomon Islands Planned Parenthood Association,Solomon Islands,Honiara,-9.4456,159.9729
Family Planning Organization of the Philippines,Philippines,Manila,14.5995,120.9842
Indonesian Planned Parenthood Association,Indonesia,Jakarta,-6.2088,106.8456
Tonga Family Health Association,Tonga,Nuku'alofa,-21.1394,-175.2049
Tuvalu Family Health Association,Tuvalu,Funafuti,-8.5211,179.1962
Vanuatu Family Health Association,Vanuatu,Port Vila,-17.7333,168.3273
Vietnam Family Planning Association,Vietnam,Hanoi,21.0278,105.8342
Youth to Youth in Health,Marshall Islands,Majuro,7.1164,171.1858
